  0.0辛                                        #6 Disco Pop (Hard 7)
  0.5辛                                      #14 Love Taste (Hard 7)
  0.5辛                                   #45 Mother Ship (Medium 8)
  0.6辛                                          #15 LRAD (Medium 7)
  0.6辛                                        #13 LOL OK (Medium 7)
  0.7辛                                        #44 me & u (Medium 8)
  0.7辛                                             #27 911 (Hard 8)
  0.7辛                                        #5 Crimewave (Hard 7)
  0.8辛                                   #9 Fork Funeral (Medium 7)
  0.8辛                                        #46 My Heart (Hard 8)
  0.8辛                                 #99 Yes or Yes (Challenge 9)
  0.8辛                                       #53 Secrets (Medium 8)
  0.9辛                                  #54 Shady Business (Hard 8)
  0.9辛                                    #39 Hello, Alone (Hard 8)
  0.9辛                                   #41 Infinite Ammo (Hard 8)
  0.9辛                                             #26 404 (Hard 8)
  0.9辛                                   #23 Voidwalkers (Medium 7)
  1.0辛                             #21 STRICTLY BUSINESS (Medium 7)
  1.0辛                                 #31 ANIMAL CROSSING (Hard 8)
  1.0辛       #52 サナ・モレッテ・ネ・エンテ (Sana Molette ne Ente) (Challenge 8)
  1.0辛                                   #55 Speed Complex (Hard 8)
  1.0辛                                      #16 Perfume! (Medium 7)
  1.0辛                                     #51 Rookie (Challenge 8)
  1.0辛                           #89 Russian Roulette (Challenge 9)
  1.0辛                          #10 Ghetto Blasta Deluxe (Medium 7)
  1.0辛                               #98 What Is Love (Challenge 9)
  1.0辛                                  #34 Desert Eagle (Medium 8)
  1.0辛                                          #35 Do It! (Hard 8)
  1.1辛                                        #76 Glue Gun (Hard 9)
  1.1辛                                              #7 DNA (Hard 7)
  1.1辛                              #19 Six String Proof (Medium 7)
  1.1辛                                   #60 War of Change (Hard 8)
  1.1辛                                        #49 No title (Hard 8)
  1.1辛                                           #77 HAPPY (Hard 9)
  1.1辛                                    #8 Evil Inside (Medium 7)
  1.1辛                                              #59 TT (Hard 8)
  1.2辛                                            #4 BOY (Medium 7)
  1.2辛                                            #1 110 (Medium 7)
  1.2辛                                            #11 Home (Hard 7)
  1.2辛                                     #67 Casual (Challenge 9)
  1.2辛                                        #25 28 Grams (Hard 8)
  1.2辛                                            #33 Deep (Hard 8)
  1.2辛                                       #22 Upshift (Medium 7)
  1.2辛                     #73 Feels So Right (feat Renko) (Hard 9)
  1.2辛                                           #58 Tides (Hard 8)
  1.2辛                                     #48 Night Drive (Hard 8)
  1.2辛                                   #80 Kill The Beat (Hard 9)
  1.2辛                                        #85 Outbreak (Hard 9)
  1.2辛                                      #3 Advantage (Medium 7)
  1.2辛                                  #24 Working For It (Hard 7)
  1.2辛                                      #61 $100 Bills (Hard 9)
  1.2辛                                     #17 Red Heart (Medium 7)
  1.2辛                             #42 LIVING IN AMERICA (Medium 8)
  1.2辛                                        #38 Hakken (Medium 8)
  1.2辛                              #56 Stupid Funky Dance (Hard 8)
  1.2辛                               #91 Shakariki Hopping (Hard 9)
  1.2辛                                  #121 Interim (Challenge 10)
  1.2辛                               #40 I Like To Move It (Hard 8)
  1.2辛                                #18 Rise and Shine (Medium 7)
  1.3辛                                #57 The Zero Point (Medium 8)
  1.3辛                                   #83 Midnight Hour (Hard 9)
  1.3辛                                  #32 Caffeine Kitty (Hard 8)
  1.3辛                                    #47 New Horizons (Hard 8)
  1.3辛                                        #111 FLAMES (Hard 10)
  1.3辛                                      #36 Fatalism (Medium 8)
  1.3辛                                       #20 SPOILER (Medium 7)
  1.3辛                                     #100 Yinsu (Challenge 9)
  1.3辛                                           #50 POT (Medium 8)
  1.3辛                                   #96 Teknopathetic (Hard 9)
  1.3辛                     #107 Disco Lady 『ディスコレディ』 (Challenge 10)
  1.3辛                               #81 Kiss Me More (Challenge 9)
  1.3辛                                       #110 edamame (Hard 10)
  1.4辛                             #75 Gamelan de Couple (Medium 9)
  1.4辛                              #72 Electro World (Challenge 9)
  1.4辛                             #179 Gangstertown (Challenge 11)
  1.4辛                                     #90 Sairai (Challenge 9)
  1.4辛                            #69 Dance with Silence (Medium 9)
  1.4辛                               #93 Show Me Love (Challenge 9)
  1.4辛                           #12 Invitation from Mr. C (Easy 7)
  1.4辛                             #43 Lost Limerence (Challenge 8)
  1.4辛                                   #82 Llego El Pavo (Hard 9)
  1.4辛                               #79 Just Don't Mind (Medium 9)
  1.4辛                                       #65 Bug A Boo (Hard 9)
  1.5辛                                        #28 AM to PM (Hard 8)
  1.5辛                                   #86 Paws and Play (Hard 9)
  1.5辛                          #168 I Won't Fall Apart (Medium 11)
  1.5辛                                 #71 CLOSE EYES (Challenge 9)
  1.5辛       #88 Renai Circulation (Lone Alpha Remix) (Challenge 9)
  1.5辛                              #78 Heart of Gold (Challenge 9)
  1.5辛                                 #187 Warm Ups (Challenge 11)
  1.5辛                       #106 Desert Palace Zone (Challenge 10)
  1.6辛                              #109 Dual Personality (Hard 10)
  1.6辛                                 #104 dashstar (Challenge 10)
  1.6辛                                      #108 DNA (Challenge 10)
  1.6辛                                #97 Want U Back (Challenge 9)
  1.6辛                             #140 Trinity Homerun (Medium 10)
  1.6辛             #131 Pretty Savage (AGNLRE Remix) (Challenge 10)
  1.6辛                      #94 Smokin Out The Window (Challenge 9)
  1.6辛                                      #95 SWEETHEART (Hard 9)
  1.6辛                               #66 Can't Nobody (Challenge 9)
  1.6辛                               #64 Beyond the Future (Hard 9)
  1.7辛                              #101 [A]ddiction (Challenge 10)
  1.7辛                             #135 Shark Attack (Challenge 10)
  1.7辛                         #146 GO! (Mahalo Mix) (Challenge 11)
  1.7辛                                   #143 Zephyr (Challenge 10)
  1.7辛                             #173 Love Fighter (Challenge 11)
  1.7辛                               #124 Let You Go (Challenge 10)
  1.7辛                                      #92 Shopaholic (Hard 9)
  1.7辛                                  #63 Ballin Flossin (Hard 9)
  1.7辛                                   #62 Applause (Challenge 9)
  1.7辛                               #103 Break Free (Challenge 10)
  1.7辛                             #74 ゲームオーバー (GAME OVER) (Hard 9)
  1.7辛                                #118 Heartbeat (Challenge 10)
  1.7辛                                    #130 pn35a (Challenge 10)
  1.7辛                                 #68 Copacabana (Challenge 9)
  1.8辛                                    #141 TURBO (Challenge 10)
  1.8辛                           #102 Boomshakalakka (Challenge 10)
  1.8辛                           #84 おしゃかしゃま (Oshakashama) (Hard 9)
  1.8辛                                #147 And Laugh (Challenge 11)
  1.8辛                                 #138 TerpZone (Challenge 10)
  1.8辛                                        #29 Amethyst (Hard 8)
  1.8辛              #137 Summer Days (Haywyre Remix) (Challenge 10)
  1.8辛                                    #125 Lurke (Challenge 10)
  1.8辛                                    #165 Greed (Challenge 11)
  1.8辛                             #70 Delightful Day (Challenge 9)
  1.8辛                                     #229 SHUM (Challenge 12)
  1.8辛                                  #142 Waiting (Challenge 10)
  1.9辛                               #175 Neon Angel (Challenge 11)
  1.9辛                                  #129 Ooh Wee (Challenge 10)
  1.9辛                             #113 Get Together (Challenge 10)
  1.9辛                             #268 Samurai Blue (Challenge 13)
  1.9辛                               #115 Give It Up (Challenge 10)
  1.9辛                                  #116 Gravity (Challenge 10)
  1.9辛                             #128 Mind Mapping (Challenge 10)
  1.9辛                                 #120 Immunity (Challenge 10)
  1.9辛                                     #144 Work (Challenge 11)
  1.9辛                        #136 Spicy Trap-House Drums (Hard 10)
  1.9辛                       #117 Harmony and Lovely (Challenge 10)
  1.9辛                                          #87 Pop It (Hard 9)
  2.0辛                                #236 Vice City (Challenge 12)
  2.0辛                                  #119 Hold Me (Challenge 10)
  2.0辛                                  #177 ON FIRE (Challenge 11)
  2.0辛                            #139 Through Money (Challenge 10)
  2.0辛                                 #114 Ghostboy (Challenge 10)
  2.0辛                                       #37 Fermion (Medium 8)
  2.0辛                #228 千年ノ理 (Sennen no Kotowari) (Challenge 12)
  2.0辛                                #127 Mercenary (Challenge 10)
